WHOREGION	FLUSEASON	HEMISPHERE	ITZ	COUNTRY_CODE	COUNTRY_AREA_TERRITORY	ISO_WEEKSTARTDATE	ISO_YEAR	ISO_WEEK	MMWR_WEEKSTARTDATE	MMWR_YEAR	MMWR_WEEK	ORIGIN_SOURCE	SPEC_PROCESSED_NB	SPEC_RECEIVED_NB	AH1N12009	AH1	AH3	AH5	AH7N9	ANOTSUBTYPED	ANOTSUBTYPABLE	AOTHER_SUBTYPE	AOTHER_SUBTYPE_DETAILS	INF_A	BVIC_2DEL	BVIC_3DEL	BVIC_NODEL	BVIC_DELUNK	BYAM	BNOTDETERMINED	INF_B	INF_ALL	INF_NEGATIVE	ILI_ACTIVITY	ADENO	BOCA	HUMAN_CORONA	METAPNEUMO	PARAINFLUENZA	RHINO	RSV_PROCESSED	RSV	OTHERRESPVIRUS	OTHER_RESPVIRUS_DETAILS	LAB_RESULT_COMMENT	WCR_COMMENT	ISO2	ISOYW	MMWRYW	PSOURCE_SUBTYPE_INF	PSOURCE_PPOS_INF	PSOURCE_RSV
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-01-20	2020	4	2020-01-19	2020	4	NONSENTINEL	2563		6		21			208				235			7		0	104	111	346									2471	91					SE	202004	202004			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-01-27	2020	5	2020-01-26	2020	5	NONSENTINEL	2684		24		21			250				295			8		0	176	184	479									2660	131					SE	202005	202005			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-02-03	2020	6	2020-02-02	2020	6	NONSENTINEL	2806		15		27			290				332			18		0	219	237	569									2724	122					SE	202006	202006			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-02-10	2020	7	2020-02-09	2020	7	NONSENTINEL	3038		16		42			374				432			9		0	261	270	702									3000	122					SE	202007	202007			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-02-17	2020	8	2020-02-16	2020	8	NONSENTINEL	3178		14		47			385				446			16		0	235	251	697									2922	131					SE	202008	202008			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-02-24	2020	9	2020-02-23	2020	9	NONSENTINEL	3481		16		53			438				507			14		0	290	304	811									3534	162					SE	202009	202009			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-03-02	2020	10	2020-03-01	2020	10	NONSENTINEL	4048		12		38			524				574			4		0	302	306	880									4022	201					SE	202010	202010			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-03-09	2020	11	2020-03-08	2020	11	NONSENTINEL	4274		16		39			431				486			2		0	216	218	704									4230	197					SE	202011	202011			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-03-16	2020	12	2020-03-15	2020	12	NONSENTINEL	4784		6		25			201				232			0		0	111	111	343									4287	200					SE	202012	202012			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-03-23	2020	13	2020-03-22	2020	13	NONSENTINEL	4674		7		3			70				80			1		0	45	46	126									4369	114					SE	202013	202013			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-03-30	2020	14	2020-03-29	2020	14	NONSENTINEL	3946		2		3			10				15			0		0	18	18	33									3823	60					SE	202014	202014			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-04-06	2020	15	2020-04-05	2020	15	NONSENTINEL	3076		0		1			1				2			0		0	9	9	11									2876	33					SE	202015	202015			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-04-13	2020	16	2020-04-12	2020	16	NONSENTINEL	2226		0		0			0				0			0		0	7	7	7									1873	10					SE	202016	202016			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-04-20	2020	17	2020-04-19	2020	17	NONSENTINEL	1868		0		0			3				3			0		0	2	2	5									1800	6					SE	202017	202017			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-04-27	2020	18	2020-04-26	2020	18	NONSENTINEL	1400		0		0			1				1			0		0	4	4	5									1354	1					SE	202018	202018			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-05-04	2020	19	2020-05-03	2020	19	NONSENTINEL	1217		0		0			0				0			0			0	0										1150	3					SE	202019	202019			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2020-05-11	2020	20	2020-05-10	2020	20	NONSENTINEL	872		0	0	0			0				0			0		0	0	0											1					SE	202020	202020			
