Diagnoser i sluten vård, Vårdtillfällen/100 000 inv, Riket, Ålder: 0-85+
År;Kön;Ålder;A39 Meningokockinfektion;A40 Sepsis orsakad av streptokocker;A41 Annan sepsis
2010;Män;5­9;0,00;3,82;16,44
2010;Män;10­14;0,00;0,40;12,66
2010;Män;15­19;3,40;2,48;21,67
2010;Män;20­24;0,95;3,48;8,22
2010;Män;25­29;0,34;3,04;10,46
2010;Män;30­34;0,67;4,38;23,59
2010;Män;35­39;0,00;2,48;24,22
2010;Män;40­44;0,00;8,36;29,57
2010;Män;45­49;1,56;8,71;39,83
2010;Män;50­54;0,34;17,25;67,64
2010;Män;55­59;0,00;19,11;120,90
2010;Män;60­64;0,00;28,47;185,69
2010;Män;65­69;0,38;37,89;285,28
2010;Män;70­74;0,54;58,23;434,25
2010;Män;75­79;0,74;84,64;706,59
2010;Män;80­84;1,00;99,76;1052,47
2010;Män;85+;0,00;189,44;1744,80
2010;Kvinnor;0­4;2,97;2,97;28,56
2010;Kvinnor;5­9;0,00;1,21;15,71
2010;Kvinnor;10­14;0,00;2,09;10,85
2010;Kvinnor;15­19;3,93;0,65;14,73
2010;Kvinnor;20­24;1,65;3,64;23,14
2010;Kvinnor;25­29;0,71;2,85;13,54
2010;Kvinnor;30­34;0,00;2,46;20,41
2010;Kvinnor;35­39;0,00;2,56;20,51
2010;Kvinnor;40­44;0,31;6,50;27,25
2010;Kvinnor;45­49;0,97;8,05;47,03
2010;Kvinnor;50­54;0,00;13,14;60,50
2010;Kvinnor;55­59;0,70;17,16;84,40
2010;Kvinnor;60­64;2,25;21,89;103,96
2010;Kvinnor;65­69;1,50;25,11;163,43
2010;Kvinnor;70­74;1,50;29,45;244,60
2010;Kvinnor;75­79;1,19;44,73;356,61
2010;Kvinnor;80­84;1,37;59,71;498,94
2010;Kvinnor;85+;0,60;115,69;761,29
2009;Män;0­4;2,51;6,81;39,08
2009;Män;5­9;0,00;0,79;18,46
2009;Män;10­14;1,54;1,54;12,30
2009;Män;15­19;2,74;0,91;15,20
2009;Män;20­24;1,32;2,97;9,57
2009;Män;25­29;1,03;2,41;10,32
2009;Män;30­34;0,00;4,37;13,45
2009;Män;35­39;0,00;9,37;14,36
2009;Män;40­44;0,00;8,80;28,16
2009;Män;45­49;0,97;12,24;43,80
2009;Män;50­54;0,00;12,55;62,75
2009;Män;55­59;0,00;13,38;108,74
2009;Män;60­64;0,32;36,99;152,41
2009;Män;65­69;0,81;36,43;269,21
2009;Män;70­74;1,13;53,14;392,90
2009;Män;75­79;0,00;77,64;632,19
2009;Män;80­84;0,00;98,78;993,75
2009;Män;85+;2,46;183,18;1551,53
2009;Kvinnor;0­4;0,76;3,79;29,20
2009;Kvinnor;5­9;0,00;1,24;9,52
2009;Kvinnor;10­14;0,81;0,41;17,01
2009;Kvinnor;15­19;2,57;1,29;11,25
2009;Kvinnor;20­24;0,69;3,45;16,91
2009;Kvinnor;25­29;0,36;2,17;16,27
2009;Kvinnor;30­34;0,00;3,15;19,63
2009;Kvinnor;35­39;0,00;4,51;26,43
2009;Kvinnor;40­44;0,92;6,71;35,09
2009;Kvinnor;45­49;0,33;8,66;41,64
2009;Kvinnor;50­54;0,35;7,96;49,52
2009;Kvinnor;55­59;0,35;13,49;63,99
2009;Kvinnor;60­64;0,64;19,11;101,90
2009;Kvinnor;65­69;0,40;31,50;179,05
2009;Kvinnor;70­74;0,51;34,37;241,60
2009;Kvinnor;75­79;3,54;49,62;350,26
2009;Kvinnor;80­84;2,04;62,51;478,33
2009;Kvinnor;85+;1,82;103,03;729,08
2008;Män;0­4;1,47;9,90;44,36
2008;Män;5­9;0,81;2,42;21,00
2008;Män;10­14;0,00;1,11;9,23
2008;Män;15­19;1,52;1,83;21,60
2008;Män;20­24;2,06;1,72;4,81
2008;Män;25­29;0,35;4,90;11,54
2008;Män;30­34;0,33;6,32;17,63
2008;Män;35­39;0,00;5,65;16,33
2008;Män;40­44;0,29;10,18;29,38
2008;Män;45­49;0,99;14,56;45,67
2008;Män;50­54;0,00;16,66;62,22
2008;Män;55­59;0,00;22,90;96,30
2008;Män;60­64;0,00;32,20;175,35
2008;Män;65­69;0,86;43,61;283,68
2008;Män;70­74;0,00;48,24;391,24
2008;Män;75­79;2,21;67,15;659,65
2008;Män;80­84;0,00;137,01;937,24
2008;Män;85+;2,52;191,54;1582,72
2008;Kvinnor;0­4;0,39;5,81;32,13
2008;Kvinnor;5­9;0,00;2,55;20,86
2008;Kvinnor;10­14;0,39;1,16;11,64
2008;Kvinnor;15­19;2,25;0,64;14,82
2008;Kvinnor;20­24;0,72;2,16;18,72
2008;Kvinnor;25­29;0,73;4,03;17,23
2008;Kvinnor;30­34;0,00;6,58;18,02
2008;Kvinnor;35­39;0,32;7,46;26,93
2008;Kvinnor;40­44;0,00;10,03;34,02
2008;Kvinnor;45­49;0,00;8,55;42,77
2008;Kvinnor;50­54;0,69;13,18;58,27
2008;Kvinnor;55­59;0,34;17,96;84,38
2008;Kvinnor;60­64;0,32;30,71;113,56
2008;Kvinnor;65­69;0,00;30,01;183,89
2008;Kvinnor;70­74;0,53;36,94;255,41
2008;Kvinnor;75­79;1,17;43,72;350,32
2008;Kvinnor;80­84;0,00;57,08;517,07
2008;Kvinnor;85+;1,23;96,91;665,47
2007;Män;0­4;3,00;4,88;42,07
2007;Män;5­9;0,00;2,06;23,92
2007;Män;10­14;1,06;0,70;16,21
2007;Män;15­19;0,31;0,93;20,44
2007;Män;20­24;1,07;2,84;13,15
2007;Män;25­29;0,71;5,33;14,21
2007;Män;30­34;1,97;5,25;12,48
2007;Män;35­39;0,31;8,75;19,07
2007;Män;40­44;0,00;7,95;32,11
2007;Män;45­49;0,00;9,74;37,28
2007;Män;50­54;0,00;15,99;66,67
2007;Män;55­59;0,33;18,12;104,08
2007;Män;60­64;0,32;28,56;168,43
2007;Män;65­69;0,92;26,09;250,81
2007;Män;70­74;0,00;46,02;374,25
2007;Män;75­79;0,74;61,18;582,36
2007;Män;80­84;0,00;100,57;859,76
2007;Män;85+;3,89;191,79;1347,71
2007;Kvinnor;0­4;1,58;5,54;36,01
2007;Kvinnor;5­9;0,44;3,92;26,13
2007;Kvinnor;10­14;1,11;0,74;14,77
2007;Kvinnor;15­19;4,91;0,65;16,04
2007;Kvinnor;20­24;0,00;3,36;23,12
2007;Kvinnor;25­29;0,00;2,60;13,72
2007;Kvinnor;30­34;0,00;5,12;15,70
2007;Kvinnor;35­39;0,97;7,12;29,12
2007;Kvinnor;40­44;0,00;8,63;28,97
2007;Kvinnor;45­49;0,00;8,66;36,36
2007;Kvinnor;50­54;0,35;8,33;57,98
2007;Kvinnor;55­59;0,00;17,22;63,92
