x	mx	qx	lx	dx	ex
80	3.417145222204977e-2	3.3597415974668414e-2	0.7472596920506412	2.5105994714928012e-2	10.117092294268346
81	4.021389127679105e-2	3.942125033922272e-2	0.7221536973357132	2.8468201686066424e-2	9.451434788398972
82	4.696376329272634e-2	4.588626739261948e-2	0.6936854956496468	3.183063813976147e-2	8.818793270786095
83	5.170973080136975e-2	5.040647809490345e-2	0.6618548575098853	3.336177237707748e-2	8.2188696551434
84	5.9102635804362334e-2	5.7406206739446616e-2	0.6284930851328078	3.607940397944658e-2	7.628603952202228
85	6.880294070640883e-2	6.651473598825756e-2	0.5924136811533611	3.940423959774761e-2	7.062752909228768
86	7.796602622615045e-2	7.504071312248221e-2	0.5530094415556135	4.149822285779889e-2	6.530376549303743
87	8.898368883312421e-2	8.519328256012301e-2	0.5115112186978146	4.35773197871958e-2	6.019612954707573
88	0.10318060809864088	9.811863774449715e-2	0.46793389891061876	4.5913036715581154e-2	5.533638417254335
89	0.11967894062900153	0.11292176219242668	0.4220208621950376	4.7655339441030904e-2	5.081264485459349
90	0.13422912730072084	0.1257869884575026	0.3743655227540067	4.709031168954517e-2	4.664442424810252
91	0.16	0.14814814814814814	0.32727521106446156	4.8485216453994305e-2	4.26364726883021
92	0.17645639268304456	0.16215017518960392	0.2787899946104673	4.5205846467196005e-2	3.918194619931116
93	0.2101903298262206	0.19020111253744118	0.23358414814327128	4.4427964847960674e-2	3.579722306685029
94	0.23120536043001252	0.20724704639957758	0.1891561832953106	3.920206029617024e-2	3.3030705578456607
95	0.25688594415522953	0.22764636805905047	0.14995412299914035	3.413651147623443e-2	3.0358689552842897
96	0.2852139104328246	0.24961681629078167	0.11581761152290591	2.8910023458750322e-2	2.78330035674406
97	0.34369719499831025	0.293294881038212	8.690758806415559e-2	2.5489550702594448e-2	2.5428458503793765
98	0.3662175168431184	0.309538336383974	6.1418037361561144e-2	1.9011237108866395e-2	2.3906623081781224
99	0.38472727272727275	0.32265934736200064	4.240680025269475e-2	1.3682950493245211e-2	2.238258194200833
100	0.4839572192513369	1.0	2.8723849759449537e-2	2.8723849759449537e-2	2.0662983425414363
