Sex	Age	Year	Month	J09	J10	J11
M	0–4	2016	Februari	24	66	6
M	0–4	2016	Mars	6	27	5
M	0–4	2016	April	1	10	0
M	0–4	2016	Maj	0	4	0
M	0–4	2016	Juni	1	0	0
M	0–4	2016	Juli	0	1	0
M	0–4	2016	Augusti	0	0	0
M	0–4	2016	September	0	0	0
M	0–4	2016	Oktober	0	0	0
M	0–4	2016	November	0	1	0
M	0–4	2016	December	0	13	1
M	0–4	2017	Januari	3	17	4
M	0–4	2017	Februari	1	16	0
M	0–4	2017	Mars	0	7	0
M	0–4	2017	April	0	4	0
M	0–4	2017	Maj	0	1	0
M	0–4	2017	Juni	0	1	0
M	0–4	2017	Juli	0	1	0
M	0–4	2017	Augusti	0	0	0
M	0–4	2017	September	0	0	0
M	0–4	2017	Oktober	0	1	0
M	0–4	2017	November	0	2	0
M	0–4	2017	December	0	3	0
M	0–4	2018	Januari	0	17	0
M	0–4	2018	Februari	1	42	4
M	0–4	2018	Mars	2	39	3
M	0–4	2018	April	2	17	1
M	0–4	2018	Maj	0	1	0
M	0–4	2018	Juni	0	0	0
M	0–4	2018	Juli	0	0	0
M	0–4	2018	Augusti	0	0	0
M	0–4	2018	September	0	0	0
M	0–4	2018	Oktober	0	1	0
M	0–4	2018	November	0	0	0
M	0–4	2018	December	3	27	1
M	0–4	2019	Januari	4	62	6
M	0–4	2019	Februari	2	53	1
M	0–4	2019	Mars	1	21	1
M	0–4	2019	April	1	11	0
M	0–4	2019	Maj	0	3	0
M	0–4	2019	Juni	0	1	0
M	0–4	2019	Juli	0	1	0
M	0–4	2019	Augusti	0	0	0
M	0–4	2019	September	0	0	0
M	0–4	2019	Oktober	0	0	0
M	0–4	2019	November	0	3	0
M	0–4	2019	December	0	11	1
M	0–4	2020	Januari	1	23	3
M	0–4	2020	Februari	0	40	2
M	0–4	2020	Mars	1	42	2
M	0–4	2020	April	0	1	0
M	0–4	2020	Maj	0	0	0
M	0–4	2020	Juni	0	0	0
M	0–4	2020	Juli	0	0	0
M	0–4	2020	Augusti	0	0	0
M	0–4	2020	September	0	0	0
M	0–4	2020	Oktober	0	0	0
M	0–4	2020	November	0	0	0
M	0–4	2020	December	0	1	0
M	0–4	2021	Januari	0	0	0
M	0–4	2021	Februari	0	0	0
M	0–4	2021	Mars	0	0	0
M	0–4	2021	April	0	0	0
M	0–4	2021	Maj	0	0	0
M	0–4	2021	Juni	0	0	0
M	0–4	2021	Juli	0	0	0
M	0–4	2021	Augusti	0	1	0
M	0–4	2021	September	0	0	0
M	0–4	2021	Oktober	0	1	0
M	0–4	2021	November	0	1	1
M	0–4	2021	December	2	31	4
M	5–9	1998	Januari	0	0	1
M	5–9	1998	Februari	0	1	6
M	5–9	1998	Mars	0	2	8
M	5–9	1998	April	0	0	1
M	5–9	1998	Maj	0	0	0
M	5–9	1998	Juni	0	0	1
M	5–9	1998	Juli	0	0	1
M	5–9	1998	Augusti	0	0	0
M	5–9	1998	September	0	0	2
M	5–9	1998	Oktober	0	0	0
M	5–9	1998	November	0	0	0
M	5–9	1998	December	0	0	0
M	5–9	1999	Januari	0	3	3
M	5–9	1999	Februari	0	1	2
M	5–9	1999	Mars	0	1	5
M	5–9	1999	April	0	0	0
M	5–9	1999	Maj	0	0	0
M	5–9	1999	Juni	0	0	0
M	5–9	1999	Juli	0	0	0
M	5–9	1999	Augusti	0	0	0
M	5–9	1999	September	0	0	0
M	5–9	1999	Oktober	0	0	0
M	5–9	1999	November	0	0	0
M	5–9	1999	December	0	1	2
M	5–9	2000	Januari	0	2	5
M	5–9	2000	Februari	0	0	1
M	5–9	2000	Mars	0	1	1
M	5–9	2000	April	0	0	0
M	5–9	2000	Maj	0	0	0
M	5–9	2000	Juni	0	0	1
M	5–9	2000	Juli	0	0	0
M	5–9	2000	Augusti	0	0	0
M	5–9	2000	September	0	0	0
M	5–9	2000	Oktober	0	0	1
M	5–9	2000	November	0	0	0
M	5–9	2000	December	0	0	1
M	5–9	2001	Januari	0	0	1
M	5–9	2001	Februari	0	2	0
M	5–9	2001	Mars	0	0	5
M	5–9	2001	April	0	0	4
M	5–9	2001	Maj	0	0	0
M	5–9	2001	Juni	0	0	0
M	5–9	2001	Juli	0	0	0
M	5–9	2001	Augusti	0	0	0
M	5–9	2001	September	0	0	0
M	5–9	2001	Oktober	0	0	0
M	5–9	2001	November	0	0	0
M	5–9	2001	December	0	0	0
M	5–9	2002	Januari	0	0	0
M	5–9	2002	Februari	0	0	1
M	5–9	2002	Mars	0	5	3
M	5–9	2002	April	0	0	1
M	5–9	2002	Maj	0	0	0
M	5–9	2002	Juni	0	0	0
M	5–9	2002	Juli	0	0	0
M	5–9	2002	Augusti	0	0	0
M	5–9	2002	September	0	0	0
M	5–9	2002	Oktober	0	0	0
M	5–9	2002	November	0	0	0
M	5–9	2002	December	0	0	0
M	5–9	2003	Januari	0	0	1
M	5–9	2003	Februari	0	0	1
M	5–9	2003	Mars	0	0	1
M	5–9	2003	April	0	0	0
M	5–9	2003	Maj	0	0	0
M	5–9	2003	Juni	0	0	0
M	5–9	2003	Juli	0	0	0
M	5–9	2003	Augusti	0	0	0
M	5–9	2003	September	0	0	0
M	5–9	2003	Oktober	0	0	0
M	5–9	2003	November	0	2	0
M	5–9	2003	December	0	4	5
