measure,location,sex,age,cause,rei,metric,year,val,upper,lower
1,67,2,25,493,169,2,2017,0.9373797353137943,0.9567325519315817,0.9132828682580595
1,105,1,25,493,169,2,2017,0.9631267074696414,0.9781296113469846,0.9460791020975462
1,105,2,25,493,169,2,2017,0.9642402409154724,0.9783503101605339,0.946320120295018
1,118,1,25,493,169,2,2017,0.979637172863968,0.9879249892148514,0.968570752157545
1,118,2,25,493,169,2,2017,0.9727617716691279,0.9833917302413858,0.9589190640153122
1,168,1,25,493,169,2,2017,0.9742687694951285,0.9857168030034916,0.9611119511083748
1,168,2,25,493,169,2,2017,0.9725320946235343,0.9845043989492899,0.9582824346303037
1,190,1,25,493,169,2,2017,0.9467617466247674,0.966900907103496,0.9228618355504203
1,190,2,25,493,169,2,2017,0.9592204246677176,0.9748906737060173,0.9379721062197262
1,91,1,25,493,169,2,2017,0.9823856753951291,0.9905563626413124,0.9723779419897469
1,91,2,25,493,169,2,2017,0.9689255129641732,0.9824447428393668,0.9516904075806598
1,51,1,25,493,169,2,2017,0.9833683995491583,0.9906138954101923,0.9734156544446246
1,51,2,25,493,169,2,2017,0.9785419898251476,0.9879365617298378,0.9671060144351646
1,182,1,25,493,169,2,2017,0.9752198150088173,0.9859712344786776,0.9619227997244915
1,182,2,25,493,169,2,2017,0.9778528128790362,0.9873200912746016,0.964383686646723
1,198,1,25,493,169,2,2017,0.9780390441915925,0.9872146247620606,0.9665029713860814
1,198,2,25,493,169,2,2017,0.982429341931788,0.9899920045759966,0.9707950041707082
1,149,1,25,493,169,2,2017,0.9808510051566863,0.9889982290242733,0.9702825506933245
1,149,2,25,493,169,2,2017,0.977069461070766,0.9874447348205497,0.9647611429109093
1,112,1,25,493,169,2,2017,0.9725019362871867,0.9843649683134209,0.9580842929591099
1,112,2,25,493,169,2,2017,0.9703605482710006,0.983030227528144,0.9551292625339328
1,165,1,25,493,169,2,2017,0.9777351197005292,0.985692044459457,0.9676336916496334
1,165,2,25,493,169,2,2017,0.9774154863015451,0.9859498830828644,0.9655739641069679
1,385,1,25,493,169,2,2017,0.9686043461813111,0.9822021523106017,0.9511349402432919
1,385,2,25,493,169,2,2017,0.9653771304401566,0.9793132645351503,0.9484312034346994
1,37,1,25,493,169,2,2017,0.9753730936427217,0.9854793523874046,0.9627534963211586
1,37,2,25,493,169,2,2017,0.9630211969645152,0.9780917742305584,0.9452124995471207
1,181,1,25,493,169,2,2017,0.9668813555995112,0.9797768382984667,0.9512744416819123
1,181,2,25,493,169,2,2017,0.97009138161023,0.981786690966385,0.9539235619469092
1,7,1,25,493,169,2,2017,0.9729751087719773,0.9821612184222527,0.961808098288439
1,7,2,25,493,169,2,2017,0.9572620136785263,0.972316016692041,0.9376414969901643
1,16,1,25,493,169,2,2017,0.9736382194865937,0.984375239025632,0.9606195768335023
1,16,2,25,493,169,2,2017,0.9727322579535866,0.9845610093603527,0.9588614513232045
1,108,1,25,493,169,2,2017,0.9769865778113426,0.9874805135318279,0.964472892382191
1,108,2,25,493,169,2,2017,0.972699771008431,0.9843912588343322,0.9578557196929492
