measure,location,sex,age,cause,metric,year,val,upper,lower
1,130,2,25,493,3,2017,84.45728836415805,87.43545302643227,80.60834288957942
1,435,1,25,493,3,2017,263.7141043972483,359.54266674465794,190.77391544675874
1,435,2,25,493,3,2017,154.42537018280953,215.58456463081302,104.58570931347299
1,155,1,25,493,3,2017,256.0954321590621,289.0915897840629,222.968093709656
1,155,2,25,493,3,2017,92.21080813922374,106.85972615345567,80.16579428278669
1,81,1,25,493,3,2017,164.97667257947234,189.29419871983947,142.48183660790568
1,81,2,25,493,3,2017,46.428958458448555,55.5144084881563,39.01486187557061
1,8,1,25,493,3,2017,98.16025803174678,107.87133329755395,88.87952034176661
1,8,2,25,493,3,2017,28.35030973048418,32.04046342355323,24.76105935926723
1,55,1,25,493,3,2017,142.87000314276023,159.44444146134424,128.5331765759807
1,55,2,25,493,3,2017,29.838807356439514,34.87804941217678,25.618200660392446
1,127,1,25,493,3,2017,228.09104004982808,280.006715924846,182.14765697205556
1,127,2,25,493,3,2017,122.98610427526584,155.18503933850747,96.44542245383471
1,203,1,25,493,3,2017,164.1322604613971,191.958787247616,138.39148084764113
1,203,2,25,493,3,2017,102.06061657944927,115.52351797916523,88.14987104519379
1,207,1,25,493,3,2017,231.07913776383498,275.35154418922804,190.89237470987908
1,207,2,25,493,3,2017,205.5491792314915,263.4903664720619,159.09908146700678
1,107,1,25,493,3,2017,136.74468810304643,156.3081610776903,119.00211861281926
1,107,2,25,493,3,2017,66.11547894418563,77.79060993194231,54.96040388984739
1,204,1,25,493,3,2017,233.85886562370217,314.8076784341502,170.45372960702204
1,204,2,25,493,3,2017,182.96630213432707,251.89287235628908,134.761550795354
1,181,1,25,493,3,2017,301.23925436783014,383.2709614537605,217.56037322106997
1,181,2,25,493,3,2017,152.67133839821193,202.2924924266616,107.48146195311216
1,77,1,25,493,3,2017,219.3896332047969,251.57034069087106,190.91324440191175
1,77,2,25,493,3,2017,46.44037515501825,55.7496444241862,39.79719294599246
1,156,1,25,493,3,2017,290.86459600296416,377.3710854083477,216.2853057791575
1,156,2,25,493,3,2017,151.1361979385354,190.30210152204518,116.48572601538649
1,131,1,25,493,3,2017,141.71137110076097,169.04249973899343,119.07727105501043
