ctry,yr,li,age,sex,ca1,ca2,rat
4290,1991,9,15,1,133,1051,0.126546
4290,1991,9,15,2,21,599,0.035058
4290,1991,9,16,1,191,1171,0.163108
4290,1991,9,16,2,51,696,0.073276
4290,1991,9,17,1,415,1880,0.220745
4290,1991,9,17,2,86,1022,0.084149
4290,1991,9,18,1,629,2901,0.216822
4290,1991,9,18,2,208,1658,0.125452
4290,1991,9,19,1,1182,4834,0.244518
4290,1991,9,19,2,432,2786,0.155061
4290,1991,9,20,1,1741,6909,0.25199
4290,1991,9,20,2,788,4366,0.180486
4290,1991,9,21,1,2035,8872,0.229373
4290,1991,9,21,2,1318,6892,0.191236
4290,1991,9,22,1,1915,9162,0.209015
4290,1991,9,22,2,1643,9624,0.170719
4290,1991,9,23,1,1264,9502,0.133025
4290,1991,9,23,2,1800,16783,0.107251
4290,1992,9,1,1,9200,48221,0.190788
4290,1992,9,1,2,6416,46005,0.139463
4290,1992,9,2,1,0,369,0
4290,1992,9,2,2,0,269,0
4290,1992,9,3,1,0,21,0
4290,1992,9,3,2,0,14,0
4290,1992,9,4,1,0,20,0
4290,1992,9,4,2,0,11,0
4290,1992,9,5,1,0,17,0
4290,1992,9,5,2,0,12,0
4290,1992,9,6,1,0,12,0
4290,1992,9,6,2,0,4,0
4290,1992,9,7,1,0,35,0
4290,1992,9,7,2,0,29,0
4290,1992,9,8,1,0,39,0
4290,1992,9,8,2,0,32,0
4290,1992,9,9,1,0,124,0
4290,1992,9,9,2,0,61,0
4290,1992,9,10,1,1,225,0.004444
4290,1992,9,10,2,0,87,0
4290,1992,9,11,1,0,278,0
4290,1992,9,11,2,3,98,0.030612
4290,1992,9,12,1,4,300,0.013333
4290,1992,9,12,2,1,139,0.007194
4290,1992,9,13,1,8,421,0.019002
4290,1992,9,13,2,3,196,0.015306
4290,1992,9,14,1,51,629,0.081081
4290,1992,9,14,2,15,359,0.041783
4290,1992,9,15,1,104,1026,0.101365
4290,1992,9,15,2,30,641,0.046802
4290,1992,9,16,1,198,1195,0.16569
4290,1992,9,16,2,44,731,0.060192
