ctry,yr,li,age,sex,ca1,ca2,rat
4290,1960,7,2,2,0,706,0.00000
4290,1960,7,3,1,0,78,0.00000
4290,1960,7,3,2,0,69,0.00000
4290,1960,7,4,1,0,43,0.00000
4290,1960,7,4,2,0,27,0.00000
4290,1960,7,5,1,0,40,0.00000
4290,1960,7,5,2,0,26,0.00000
4290,1960,7,6,1,0,44,0.00000
4290,1960,7,6,2,0,36,0.00000
4290,1960,7,7,1,0,140,0.00000
4290,1960,7,7,2,0,85,0.00000
4290,1960,7,8,1,1,121,0.00826
4290,1960,7,8,2,0,75,0.00000
4290,1960,7,9,1,0,258,0.00000
4290,1960,7,9,2,0,115,0.00000
4290,1960,7,10,1,1,250,0.00400
4290,1960,7,10,2,0,103,0.00000
4290,1960,7,11,1,5,251,0.01992
4290,1960,7,11,2,0,143,0.00000
4290,1960,7,12,1,8,322,0.02484
4290,1960,7,12,2,1,189,0.00529
4290,1960,7,13,1,30,471,0.06369
4290,1960,7,13,2,10,320,0.03125
4290,1960,7,14,1,71,683,0.10395
4290,1960,7,14,2,17,460,0.03696
4290,1960,7,15,1,175,1067,0.16401
4290,1960,7,15,2,55,830,0.06627
4290,1960,7,16,1,399,1612,0.24752
4290,1960,7,16,2,103,1184,0.08699
4290,1960,7,17,1,791,2561,0.30886
4290,1960,7,17,2,212,1633,0.12982
4290,1960,7,18,1,1243,3513,0.35383
4290,1960,7,18,2,458,2384,0.19211
4290,1960,7,19,1,1560,4563,0.34188
4290,1960,7,19,2,850,3483,0.24404
4290,1960,7,20,1,2004,5868,0.34151
4290,1960,7,20,2,1527,5292,0.28855
4290,1960,7,21,1,2158,6284,0.34341
4290,1960,7,21,2,1991,6390,0.31158
4290,1960,7,22,1,1965,5765,0.34085
4290,1960,7,22,2,1989,6210,0.32029
4290,1960,7,23,1,1519,4584,0.33137
4290,1960,7,23,2,1916,5822,0.32910
4290,1961,7,1,1,12231,38751,0.31563
4290,1961,7,1,2,9488,34804,0.27261
4290,1961,7,2,1,0,950,0.00000
4290,1961,7,2,2,0,697,0.00000
4290,1961,7,3,1,0,67,0.00000
4290,1961,7,3,2,0,43,0.00000
4290,1961,7,4,1,0,50,0.00000
4290,1961,7,4,2,0,29,0.00000
4290,1961,7,5,1,0,45,0.00000
4290,1961,7,5,2,0,27,0.00000
4290,1961,7,6,1,0,34,0.00000
4290,1961,7,6,2,0,38,0.00000
4290,1961,7,7,1,0,138,0.00000
4290,1961,7,7,2,0,95,0.00000
4290,1961,7,8,1,0,116,0.00000
4290,1961,7,8,2,0,81,0.00000
4290,1961,7,9,1,1,273,0.00366
4290,1961,7,9,2,0,104,0.00000
4290,1961,7,10,1,1,246,0.00407
4290,1961,7,10,2,0,109,0.00000
4290,1961,7,11,1,4,245,0.01633
4290,1961,7,11,2,0,136,0.00000
